cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s,fitness
550,256,4,0.44791710926228173,3.2,-39.15345212654555,-1,0.0,ok,259.58651852607727,0.677179914881957
450,256,1,0.5339238042393317,0.7,-8.772135069787637,-1,0.0,ok,188.59378051757812,0.6646332005045912
550,128,1,0.6721342693164813,0.675,-10.48697670501091,-1,0.0,ok,151.7127206325531,0.6636533540945297
500,384,4,0.43743747973783387,3.5,-35.73206367543403,-1,0.0,ok,285.3707346916199,0.6673648545096595
700,256,4,0.42678762194239145,3.8,-50.89522040073048,-1,0.0,ok,305.4132809638977,0.6828481845373886
500,256,4,0.46341903777553245,3.0,-35.26546039516515,-1,0.0,ok,268.6478946208954,0.6740301713725088
500,128,4,0.6047145163440859,2.5,-35.78943019155457,-1,0.0,ok,295.4173254966736,0.6704266287848984
500,128,3,0.6308161192362267,1.875,-27.799420968808775,-1,0.0,ok,257.1068046092987,0.6698931685316298
300,256,4,0.4924716668670652,2.2,-20.958587972977487,-1,0.0,ok,254.71789813041687,0.6683853124980104
250,256,4,0.5102792501004649,2.0,-17.675391535256246,-1,0.0,ok,312.2686085700989,0.666369307230201
100,256,4,0.5503762187912815,1.4,-6.140097676058307,-1,0.0,ok,280.67571353912354,0.5666685611327207
450,256,4,0.4657099267356413,2.8,-31.933983445082596,-1,0.0,ok,299.770391702652,0.6749611866212941
