cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s,fitness
600,256,4,0.4223296630431846,3.4,-42.3215858481648,0.0,ok,338.5364203453064,0.685909381651712
300,512,3,0.3947158445863952,2.4000000000000004,-15.547833467218048,0.0,ok,298.7490508556366,0.6672701861287441
550,512,3,0.40418137133701487,3.1500000000000004,-30.495519258424213,0.0,ok,253.57794952392578,0.6689114326863955
100,256,4,0.5331839247508587,1.4,-6.420231420981034,0.0,ok,264.79557728767395,0.6151546666981084
550,128,3,0.6107822157178697,2.0250000000000004,-29.76233089530398,0.0,ok,241.84078860282898,0.6733873360753762
650,256,4,0.42749323665967615,3.6,-45.93347566228048,0.0,ok,324.5781259536743,0.6818577346929231
550,256,3,0.48335897174751336,2.4000000000000004,-30.163690971609483,0.0,ok,310.0071864128113,0.6767086695314426
550,256,4,0.45663593001505115,3.2,-39.52143726842044,0.0,ok,280.16471767425537,0.674163569209663
550,128,4,0.598532875466703,2.7,-38.64152219522411,0.0,ok,263.29699301719666,0.6723790331415542
700,256,4,0.43879126556108333,3.8,-49.041044377637476,0.0,ok,247.86275172233582,0.6811433756774398
350,256,4,0.4988442965945117,2.4,-23.62441471962645,0.0,ok,288.35340666770935,0.6676580646541396
450,256,4,0.4621878322935152,2.8,-31.10617470418375,0.0,ok,265.8725423812866,0.6723565311656886
