generation,idx,cpu_m,mem_mib,replicas,f1,f2,f3,throughput_rps,cpu_throttle_rate,mem_peak_ratio,rank,crowding_distance,status,eval_time_s
0,0,600,256,1,0.5351300954106342,0.85,-11.933866792188857,11.933866792188857,0.7815028666025184,0.28875732421875,0,0.12278264487386202,ok,176.51693654060364
0,1,650,640,2,0.4438257557360826,2.55,-24.784399998371285,24.784399998371285,0.7687733376440401,0.118878173828125,0,0.09611003189610527,ok,355.80557680130005
0,2,250,384,1,0.5242876755719649,0.625,-4.478828078108515,4.478828078108515,0.8499771252324715,0.19859822591145834,0,0.17623836121681868,ok,231.04900813102722
0,3,600,256,4,0.4282651376602365,3.4,-41.139114478709295,41.139114478709295,0.556817140554848,0.299713134765625,0,0.4688006362729845,ok,373.1713309288025
0,4,100,128,1,0.7358345511951612,0.225,-2.280047650126778,2.280047650126778,0.8900650984840723,0.58160400390625,0,inf,ok,234.98419833183289
0,5,250,512,1,0.49813752688114665,0.75,-4.904034094817033,4.904034094817033,0.8496686084497933,0.1466064453125,0,0.2575889734881094,ok,242.8239347934723
0,6,500,512,4,0.41589364386408,4.0,-35.13196167541251,35.13196167541251,0.6868211622398788,0.14496612548828125,1,inf,ok,360.5090260505676
0,7,250,1024,3,0.4159402005522498,3.75,-13.701172996979937,13.701172996979937,0.7586191401181714,0.07326126098632812,1,2.164275327744361,ok,248.97779035568237
0,8,700,128,2,0.6477379663034982,1.65,-27.192597814148638,27.192597814148638,0.7022142138569964,0.59326171875,0,0.3720278438968957,ok,200.53556180000305
0,9,650,896,3,0.34940132070204133,4.574999999999999,-35.36735053699435,35.36735053699435,0.6132880278438148,0.08551461356026786,0,0.26396458454769345,ok,309.9952311515808
0,10,300,384,2,0.47165369681430824,1.35,-11.411553030047108,11.411553030047108,0.7500090537848665,0.19329833984375,0,0.18249486430519882,ok,186.4557991027832
0,11,700,768,1,0.48836821320095286,1.45,-14.03946445013401,14.03946445013401,0.8897155523784682,0.0870208740234375,0,0.2539847164037614,ok,218.39631867408752
1,0,600,256,4,0.4282651376602365,3.4,-41.139114478709295,41.139114478709295,0.556817140554848,0.299713134765625,0,0.4688006362729845,ok,373.1713309288025
1,1,100,128,1,0.7358345511951612,0.225,-2.280047650126778,2.280047650126778,0.8900650984840723,0.58160400390625,0,inf,ok,234.98419833183289
1,2,650,896,3,0.34940132070204133,4.574999999999999,-35.36735053699435,35.36735053699435,0.6132880278438148,0.08551461356026786,0,0.26396458454769345,ok,309.9952311515808
1,3,100,384,1,0.542488116037321,0.475,-2.2337355405800783,2.2337355405800783,0.9057871858506837,0.17918904622395834,0,inf,ok,173.43614315986633
1,4,700,128,3,0.6131179010370434,2.4749999999999996,-38.57727778444405,38.57727778444405,0.6310514759022119,0.595184326171875,0,0.12282895250035092,ok,334.66021180152893
1,5,600,640,3,0.3707851261659122,3.6750000000000003,-32.89609565551532,32.89609565551532,0.6234306038943244,0.1181396484375,0,0.3435130598452931,ok,256.6899859905243
1,6,600,256,2,0.4695711658286977,1.7,-22.493310630784983,22.493310630784983,0.6452427955245829,0.2938995361328125,0,0.16956898597490017,ok,211.59323859214783
1,7,700,128,2,0.6477379663034982,1.65,-27.192597814148638,27.192597814148638,0.7022142138569964,0.59326171875,0,0.3720278438968957,ok,200.53556180000305
1,8,700,768,1,0.48836821320095286,1.45,-14.03946445013401,14.03946445013401,0.8897155523784682,0.0870208740234375,0,0.2539847164037614,ok,218.39631867408752
1,9,650,640,2,0.4438257557360826,2.55,-24.784399998371285,24.784399998371285,0.7687733376440401,0.118878173828125,0,0.09611003189610527,ok,355.80557680130005
1,10,500,512,1,0.48058548653742894,1.0,-9.766149376111,9.766149376111,0.8119934218053266,0.14917755126953125,0,0.09422659403501189,ok,214.3210117816925
1,11,700,896,2,0.3630675286020889,3.15,-25.677354304533633,25.677354304533633,0.6420983663559635,0.08403669084821429,0,0.16007298303532952,ok,199.30646657943726
2,0,600,256,4,0.4282651376602365,3.4,-41.139114478709295,41.139114478709295,0.556817140554848,0.299713134765625,0,0.4688006362729845,ok,373.1713309288025
2,1,100,128,1,0.7358345511951612,0.225,-2.280047650126778,2.280047650126778,0.8900650984840723,0.58160400390625,0,inf,ok,234.98419833183289
2,2,650,896,3,0.34940132070204133,4.574999999999999,-35.36735053699435,35.36735053699435,0.6132880278438148,0.08551461356026786,0,0.26396458454769345,ok,309.9952311515808
2,3,100,384,1,0.542488116037321,0.475,-2.2337355405800783,2.2337355405800783,0.9057871858506837,0.17918904622395834,0,inf,ok,173.43614315986633
2,4,600,640,3,0.3707851261659122,3.6750000000000003,-32.89609565551532,32.89609565551532,0.6234306038943244,0.1181396484375,0,0.3435130598452931,ok,256.6899859905243
2,5,700,128,2,0.6477379663034982,1.65,-27.192597814148638,27.192597814148638,0.7022142138569964,0.59326171875,0,0.3720278438968957,ok,200.53556180000305
2,6,700,128,3,0.6131179010370434,2.4749999999999996,-38.57727778444405,38.57727778444405,0.6310514759022119,0.595184326171875,0,0.12282895250035092,ok,334.66021180152893
2,7,500,256,1,0.5826007879522566,0.75,-10.097035538681974,10.097035538681974,0.8640998913342007,0.3011016845703125,0,0.27033699405393985,ok,177.0424771308899
2,8,700,768,1,0.48836821320095286,1.45,-14.03946445013401,14.03946445013401,0.8897155523784682,0.0870208740234375,0,0.2539847164037614,ok,218.39631867408752
2,9,650,768,1,0.5130678994694913,1.4,-13.241730335248832,13.241730335248832,0.9268926348764825,0.0992431640625,0,0.2520298475313143,ok,136.73093605041504
2,10,550,512,2,0.4374950876207651,2.1,-21.03098852276547,21.03098852276547,0.7273766498509052,0.147613525390625,0,0.21856881996467237,ok,243.59386086463928
2,11,500,1024,2,0.4296139185959091,3.0,-19.07360410522308,19.07360410522308,0.7853829275238494,0.07384490966796875,0,0.266223989480553,ok,261.0484662055969
3,0,100,128,1,0.7358345511951612,0.225,-2.280047650126778,2.280047650126778,0.8900650984840723,0.58160400390625,0,inf,ok,234.98419833183289
3,1,100,384,1,0.542488116037321,0.475,-2.2337355405800783,2.2337355405800783,0.9057871858506837,0.17918904622395834,0,inf,ok,173.43614315986633
3,2,650,896,4,0.32735544517021137,6.1,-46.33825532717911,46.33825532717911,0.5715025337556013,0.08320835658482142,0,inf,ok,263.8942322731018
3,3,600,640,3,0.3707851261659122,3.6750000000000003,-32.89609565551532,32.89609565551532,0.6234306038943244,0.1181396484375,0,0.3435130598452931,ok,256.6899859905243
3,4,700,128,2,0.6477379663034982,1.65,-27.192597814148638,27.192597814148638,0.7022142138569964,0.59326171875,0,0.3720278438968957,ok,200.53556180000305
3,5,650,896,3,0.34940132070204133,4.574999999999999,-35.36735053699435,35.36735053699435,0.6132880278438148,0.08551461356026786,0,0.26396458454769345,ok,309.9952311515808
3,6,100,128,3,0.708037726580744,0.675,-5.224298981036345,5.224298981036345,0.8302295058958631,0.585845947265625,0,0.23163555870235766,ok,254.90459275245667
3,7,700,128,3,0.6131179010370434,2.4749999999999996,-38.57727778444405,38.57727778444405,0.6310514759022119,0.595184326171875,0,0.12282895250035092,ok,334.66021180152893
3,8,500,256,1,0.5826007879522566,0.75,-10.097035538681974,10.097035538681974,0.8640998913342007,0.3011016845703125,0,0.27033699405393985,ok,177.0424771308899
3,9,650,768,4,0.35005843964945393,5.6,-45.895146086505996,45.895146086505996,0.6032388275410954,0.0968780517578125,0,0.2669720325232785,ok,267.1092278957367
3,10,550,512,2,0.4374950876207651,2.1,-21.03098852276547,21.03098852276547,0.7273766498509052,0.147613525390625,0,0.21856881996467237,ok,243.59386086463928
3,11,600,256,4,0.4282651376602365,3.4,-41.139114478709295,41.139114478709295,0.556817140554848,0.299713134765625,0,0.4688006362729845,ok,373.1713309288025
4,0,100,128,1,0.7358345511951612,0.225,-2.280047650126778,2.280047650126778,0.8900650984840723,0.58160400390625,0,inf,ok,234.98419833183289
4,1,100,384,1,0.542488116037321,0.475,-2.2337355405800783,2.2337355405800783,0.9057871858506837,0.17918904622395834,0,inf,ok,173.43614315986633
4,2,650,896,4,0.32735544517021137,6.1,-46.33825532717911,46.33825532717911,0.5715025337556013,0.08320835658482142,0,inf,ok,263.8942322731018
4,3,700,896,3,0.3112247101272354,4.725,-38.57916903578346,38.57916903578346,0.5375756758348279,0.08487374441964286,0,inf,ok,321.0097978115082
4,4,600,640,3,0.3707851261659122,3.6750000000000003,-32.89609565551532,32.89609565551532,0.6234306038943244,0.1181396484375,0,0.3435130598452931,ok,256.6899859905243
4,5,700,128,2,0.6477379663034982,1.65,-27.192597814148638,27.192597814148638,0.7022142138569964,0.59326171875,0,0.3720278438968957,ok,200.53556180000305
4,6,600,256,4,0.4282651376602365,3.4,-41.139114478709295,41.139114478709295,0.556817140554848,0.299713134765625,0,0.4688006362729845,ok,373.1713309288025
4,7,500,256,2,0.5232312857304742,1.5,-19.059483348032007,19.059483348032007,0.7726130841562607,0.2738494873046875,0,0.1618848644490125,ok,257.6246099472046
4,8,650,1024,1,0.4377728959349198,1.65,-12.64421948417207,12.64421948417207,0.8097003023678865,0.06584548950195312,0,0.16088930169016247,ok,187.23577308654785
4,9,100,128,3,0.708037726580744,0.675,-5.224298981036345,5.224298981036345,0.8302295058958631,0.585845947265625,0,0.23163555870235766,ok,254.90459275245667
4,10,600,256,3,0.49369488042097276,2.55,-32.02013994991794,32.02013994991794,0.6916439112325705,0.295745849609375,0,0.2019728093515747,ok,342.5196852684021
4,11,500,256,1,0.5826007879522566,0.75,-10.097035538681974,10.097035538681974,0.8640998913342007,0.3011016845703125,0,0.27033699405393985,ok,177.0424771308899
5,0,100,128,1,0.7358345511951612,0.225,-2.280047650126778,2.280047650126778,0.8900650984840723,0.58160400390625,0,inf,ok,234.98419833183289
