cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s
150,128,1,0.6873863012831561,0.275,-2.9540273705246585,inf,ok,163.2516474723816
700,1024,4,0.3128948295164746,6.8,-49.40521524638845,inf,ok,275.82803106307983
600,256,1,0.27721346002163294,0.85,-6.979602433060719,inf,ok,130.3541555404663
250,128,1,0.7316591366708113,0.375,-4.479179872676727,inf,ok,207.35576581954956
550,896,4,0.34841085996805327,5.7,-39.756940534449534,0.6074693498068883,ok,343.5681550502777
550,256,3,0.4845744856672824,2.4000000000000004,-30.526460638112347,0.5939004236639827,ok,252.53583455085754
650,896,3,0.3693107414402643,4.574999999999999,-34.81231118689877,0.5740387741663635,ok,326.8342306613922
700,128,4,0.5640221100273586,3.3,-48.117835136426784,0.5529619192538401,ok,341.26190400123596
300,128,4,0.6547314279490039,1.7,-21.463544643324024,0.49370782734206997,ok,280.6593539714813
700,512,3,0.3962779140657318,3.5999999999999996,-37.946916630513556,0.35339662997045407,ok,265.52957916259766
700,768,1,0.48379085645322034,1.45,-13.602093864172371,0.3456512948785645,ok,213.46158862113953
550,128,2,0.6752097861681181,1.35,-20.743212638725062,0.30814724363186125,ok,184.55543088912964
