cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s
100,384,1,0.542488116037321,0.475,-2.2337355405800783,0,inf,ok,173.43614315986633
550,512,4,0.35760190997443086,4.2,-38.632458282060654,0,inf,ok,357.32026648521423
550,128,4,0.5918999116546724,2.7,-39.02833973223414,0,inf,ok,413.30174589157104
550,128,3,0.7007797619056619,2.0250000000000004,-30.693725378094353,0,inf,ok,147.7056438922882
300,384,2,0.47165369681430824,1.35,-11.411553030047108,0,0.49577672975929155,ok,186.4557991027832
700,128,2,0.6477379663034982,1.65,-27.192597814148638,0,0.4177240317732658,ok,200.53556180000305
400,768,3,0.40922216515498827,3.4499999999999997,-18.528133289400635,0,0.407712464921215,ok,343.5830788612366
450,512,3,0.430453275508741,2.8499999999999996,-24.565385108515226,0,0.39859383463130704,ok,265.0344340801239
350,256,3,0.49598607319832383,1.7999999999999998,-18.38702765932118,0,0.3748710733121781,ok,277.4902641773224
500,512,4,0.41589364386408,4.0,-35.13196167541251,0,0.3429841752715282,ok,360.5090260505676
400,896,3,0.3765836170365795,3.8249999999999997,-21.9915457167165,0,0.33389260934169684,ok,334.25616788864136
500,128,3,0.6213883804580539,1.875,-27.508782643316497,0,0.31508355447310205,ok,292.4675600528717
