cpu_m,mem_mib,replicas,f1,f2,f3,crowding_distance,status,eval_time_s
450,768,1,0.46685279050484435,1.2,-8.361908447988547,0.06421278205683885,ok,199.12585973739624
450,1024,1,0.42352465275380646,1.45,-8.832720982518712,0.06093286308049671,ok,204.58845710754395
500,896,3,0.35203093704838473,4.125,-27.369693216747393,0.13147413961323542,ok,306.0210008621216
200,128,1,0.6939139300519797,0.325,-3.7775921725389088,inf,ok,231.02023124694824
550,384,4,0.4035313523469858,3.7,-38.43310831749098,0.2680609037726313,ok,310.91576290130615
150,128,1,0.6692299472871326,0.275,-2.7473266283889246,0.06610247824383692,ok,223.53039050102234
500,256,1,0.5908707084058176,0.75,-9.84874776120685,0.18598923470772255,ok,179.41071009635925
650,384,1,0.4954264584931864,1.025,-12.894140691352941,0.2261489847719901,ok,168.68888568878174
450,768,4,0.3479727541665352,4.8,-31.687641648077104,0.1458026852363909,ok,361.62707018852234
550,256,3,0.45787419616746466,2.4000000000000004,-30.145853453130286,0.06908985456165027,ok,323.64041471481323
650,896,4,0.3392079168608914,6.1,-46.02580795214489,0.27723778021214024,ok,363.39448165893555
550,128,2,0.64259626861054,1.35,-20.778527509946745,0.21371052191408194,ok,244.17958450317383
100,256,1,0.5885938799332985,0.35,-2.270453663123471,0.09056335446399355,ok,210.99649858474731
400,256,1,0.5633496527765699,0.65,-7.703908058525699,0.11572998346101834,ok,198.91943502426147
550,896,3,0.38174060644443997,4.275,-30.226764720978775,0.15702796103788663,ok,311.97323513031006
200,384,2,0.47063117002451654,1.15,-7.002061326572236,0.022753895923977085,ok,288.69320487976074
650,128,2,0.6297873555899738,1.55,-24.826903395146292,0.1760188901311564,ok,208.7912437915802
300,512,3,0.43984202022176305,2.4000000000000004,-16.322010316554355,0.11596124231385166,ok,359.48793959617615
400,512,1,0.4932497195963795,0.9,-7.403824177169778,0.10321378045039781,ok,234.32676601409912
450,128,1,0.6670951398282429,0.575,-8.777766836091681,0.11897115624530183,ok,245.68311095237732
100,128,1,0.6903947895777838,0.225,-2.247127904073773,inf,ok,214.9255347251892
550,768,3,0.38773971847604544,3.9000000000000004,-31.2738133263143,0.1384090692651881,ok,299.53772354125977
700,896,2,0.3351903723204064,3.15,-25.68601925307761,0.14620225212858484,ok,264.9175457954407
250,128,1,0.6734817520536998,0.375,-4.717592123198031,0.05481943654901653,ok,235.09769129753113
550,896,2,0.3967362257397054,2.85,-20.862644745475517,0.12592244225745913,ok,298.2864601612091
400,896,1,0.3257973605518726,1.275,-7.647016242118804,0.0832125218299556,ok,189.5825207233429
650,512,2,0.44573340561830616,2.3,-24.70405312831139,0.07689476517294004,ok,225.56989526748657
250,128,1,0.6734817520536998,0.375,-4.717592123198031,0.03629437871307397,ok,235.09769129753113
600,256,4,0.42072452834630614,3.4,-41.8448930901682,0.2673168791820094,ok,362.8564438819885
650,768,2,0.4035929795145211,2.8,-23.687693813270474,0.1427589343092172,ok,229.25253319740295
350,512,1,0.46273830584444403,0.85,-6.493295290393964,0.09028174577554732,ok,178.05590105056763
650,512,4,0.36571988282591045,4.6,-46.220702063103396,0.16827983743496014,ok,380.2390601634979
600,384,3,0.446231858866874,2.925,-32.79140589930325,0.2055243774667393,ok,287.5561144351959
650,1024,4,0.3148083948642242,6.6,-46.41555487225439,inf,ok,271.26135635375977
650,896,1,0.4117118012747121,1.525,-12.520465257141764,0.08298118066311827,ok,185.85939288139343
250,384,1,0.4327323809300951,0.625,-4.6762743652923415,0.06845600064088807,ok,215.70082116127014
600,256,1,0.5577686775183941,0.85,-11.878663250787861,0.2442558630636837,ok,162.81151366233826
700,512,2,0.44156963271243155,2.4,-26.46902500432395,0.0687780073759677,ok,281.00773072242737
250,128,3,0.6750194103413472,1.125,-13.556307767291846,0.07528353958508713,ok,322.22618985176086
650,640,4,0.308972486492905,5.1,-45.831381324006564,inf,ok,274.7028102874756
350,640,2,0.4252385799293025,1.95,-13.59192818739087,0.1602046040676698,ok,242.3549120426178
700,384,2,0.44845702045582575,2.15,-27.651882534974078,0.0928144689123386,ok,274.73958563804626
200,384,2,0.47063117002451654,1.15,-7.002061326572236,0.022386721453462793,ok,288.69320487976074
500,384,3,0.42514830514228197,2.625,-28.01490360891687,0.12317033167686955,ok,336.44623255729675
500,640,1,0.47183419825104783,1.125,-9.757563053659851,0.08548292165956817,ok,258.10864329338074
650,256,4,0.43894043458128446,3.6,-46.8039667148047,inf,ok,324.97151470184326
450,384,2,0.45525176594621003,1.65,-16.88187148514148,0.18722771775544472,ok,266.90089082717896
