cpu_m,mem_mib,replicas,f1,f2,f3,rank,crowding_distance,status,eval_time_s
400,256,2,0.5118161510210681,1.3,-15.457471065076005,0,0.034241445131169175,ok,249.35376381874084
400,512,3,0.43513421683195014,2.7,-22.508018250223802,0,0.13484622145555702,ok,291.41188621520996
100,512,1,0.5216373300563939,0.6,-2.2973680083514827,0,inf,ok,189.24072647094727
550,128,1,0.7012172192280381,0.675,-10.278463917971974,0,0.11916133855419346,ok,205.45277762413025
200,640,4,0.4203550933413435,3.3,-13.55044613123755,2,0.2617358350562876,ok,379.41347336769104
550,896,3,0.3900070211631155,4.275,-30.406054425521624,1,inf,ok,301.8983702659607
350,256,3,0.48178315612132966,1.7999999999999998,-19.297922213165354,0,0.10291331038437382,ok,290.16146087646484
300,384,1,0.535239316679647,0.675,-5.780282442496226,0,0.034758376057327345,ok,194.55729579925537
500,256,1,0.5947442560674571,0.75,-10.022922924172015,0,0.0921368419403445,ok,245.5660183429718
300,768,1,0.48042426916529934,1.05,-5.675872213726028,1,0.10498254920335937,ok,197.6772186756134
600,640,1,0.4957422633618121,1.225,-9.624402975252536,1,0.1442396772866965,ok,198.07770037651062
350,896,1,0.43593292257491867,1.225,-6.79428485752431,1,0.16345298095980093,ok,158.91336798667908
450,1024,2,0.42002497779072817,2.9,-16.58926619754133,1,0.15785201224711126,ok,276.26889395713806
250,384,3,0.4755985375288734,1.875,-13.642324234779817,1,0.2587492830266674,ok,341.9906396865845
650,512,1,0.4756021027328667,1.15,-13.05401158747709,0,0.08117949398480617,ok,177.42613124847412
100,896,1,0.4534758094352011,0.975,-2.280402839991543,1,inf,ok,222.05229711532593
650,768,3,0.38595759555277065,4.199999999999999,-34.694806955459704,0,0.3292331014490998,ok,274.53009510040283
450,1024,2,0.42002497779072817,2.9,-16.58926619754133,1,0.1653614644880852,ok,276.26889395713806
250,1024,4,0.40337185379873225,5.0,-17.689414943232364,3,inf,ok,354.22603821754456
700,768,1,0.43416003771723455,1.45,-13.634886509274112,0,0.05797961364653709,ok,181.06248807907104
300,384,1,0.535239316679647,0.675,-5.780282442496226,0,0.036099996147288566,ok,194.55729579925537
250,128,3,0.6603037916835826,1.125,-13.633258892871122,0,0.010141451648187937,ok,350.2057921886444
350,512,4,0.41782319303077,3.4,-24.730621553268442,1,0.28763905115808097,ok,342.0171604156494
150,768,3,0.44108591913389644,2.7,-7.862321446025082,2,0.5737552800788378,ok,290.51879930496216
150,512,1,0.5187354273575591,0.65,-2.844473050406305,0,0.037372225486545146,ok,206.562824010849
400,128,4,10.0,2.1,0.0,3,inf,timeout,316.4212329387665
150,384,2,0.49236934024338536,1.05,-5.554025886918366,2,inf,ok,268.33967542648315
600,128,3,0.6045428287714366,2.175,-32.40001522010354,0,0.04647125087773456,ok,316.92968702316284
600,256,3,0.4743316150410786,2.55,-32.946145643708824,0,0.15198563239567728,ok,248.33887934684753
150,128,4,0.6721739204514051,1.1,-10.256368032570098,1,inf,ok,280.9837398529053
300,384,2,0.4893291305346931,1.35,-10.357564271221849,1,0.019352702959666304,ok,226.60107421875
100,640,4,10.0,2.9,0.0,4,inf,timeout,313.4997138977051
300,256,3,0.5053882779667938,1.6500000000000001,-16.178179339020595,0,0.1469543217092933,ok,275.1016662120819
500,1024,1,0.4588308451021046,1.5,-8.798673835306658,1,0.043354848807100006,ok,220.46980357170105
300,1024,3,0.4103780137434196,3.9000000000000004,-16.103474273727798,2,1.0814854670609493,ok,259.7358922958374
400,896,3,0.4003112382104401,3.8249999999999997,-21.20246346419131,1,0.27405649846666214,ok,263.45807337760925
500,1024,1,0.4588308451021046,1.5,-8.798673835306658,1,0.11656792454921791,ok,220.46980357170105
350,640,2,0.4505768055361511,1.95,-12.95669661933542,1,0.08716654451926818,ok,254.38457345962524
200,384,1,0.5356275421085677,0.575,-3.7605680664503294,0,0.16952170369698805,ok,208.05431032180786
450,896,3,0.40178524288409867,3.9749999999999996,-24.32662002066164,1,0.23409179825747473,ok,346.943913936615
450,256,3,0.49382438128306116,2.0999999999999996,-24.45700279541512,0,0.04410673847356226,ok,338.4496183395386
550,384,3,0.4341432388819162,2.7750000000000004,-29.72345366689532,0,0.11311860027944763,ok,250.23273086547852
650,768,2,0.40759696929780964,2.8,-24.61618288179338,0,0.1397426129828086,ok,189.54242062568665
100,512,4,0.47281391783870513,2.4,-6.617458441132231,2,0.6456633332720608,ok,345.22406816482544
150,640,4,0.4464307268148243,3.1,-10.068130312623811,2,0.5911316950438188,ok,320.9485833644867
650,384,4,0.3911302886103745,4.1,-46.84826047320769,0,inf,ok,263.91709637641907
300,384,2,0.4893291305346931,1.35,-10.357564271221849,1,0.02773469402157745,ok,226.60107421875
550,768,1,0.4462221978755056,1.3,-10.914548575758618,0,0.06565943656801776,ok,219.75836372375488
350,768,4,0.3928807611578904,4.4,-24.508658886099614,2,inf,ok,311.12587213516235
200,128,1,0.732302922984823,0.325,-3.712813367637927,0,inf,ok,233.1122329235077
400,896,4,0.3735368979938529,5.1,-27.966974754026353,1,0.3284778840275506,ok,396.46065378189087
550,1024,2,0.41850237145436303,3.1,-20.564215191405342,1,0.16568439949291378,ok,223.074471950531
250,384,2,0.48787298527457623,1.25,-9.361305765469186,1,0.05758710457710629,ok,265.56197929382324
650,128,3,0.5886609117575624,2.325,-35.77286202087538,0,0.28240079268806495,ok,344.08486461639404
300,128,2,0.6735145874862463,0.85,-10.998037325708705,0,0.14240579485612684,ok,266.92926120758057
550,384,2,0.32685485619956256,1.85,-20.915376092691847,0,0.29591323057314667,ok,229.05975985527039
250,128,1,0.7273350755032337,0.375,-4.8737174720989245,0,0.08947310246256501,ok,185.5924789905548
150,256,4,0.527464824142116,1.6,-10.031770675958814,2,inf,ok,368.53660798072815
500,128,3,0.6211678185082573,1.875,-27.770359471198457,0,0.22482760662419846,ok,297.8785195350647
400,384,3,0.396836084699787,2.325,-21.587158685640073,0,0.11554504322265521,ok,271.06950879096985
600,384,1,0.5345620690745789,0.975,-12.052532138871245,0,0.10642607322505845,ok,176.00847673416138
350,768,3,0.3571054706097375,3.3000000000000003,-18.637296180515232,1,0.2685357531492183,ok,380.7373719215393
100,128,2,0.717795152418766,0.45,-3.410562566083826,0,0.10614021573091353,ok,229.38810348510742
150,512,1,0.5187354273575591,0.65,-2.844473050406305,0,0.013425857756979962,ok,206.562824010849
200,256,2,0.4115423745747827,0.9,-7.264631610164714,0,0.14715518946540143,ok,235.0857903957367
500,256,2,0.5232719417016574,1.5,-18.334803479938024,0,0.13731485235045449,ok,217.64480757713318
400,640,4,0.3990890999044854,4.1,-27.811209782448127,1,0.21499501299209695,ok,288.8255543708801
